2023/12/22 11:25:17 [error] 8332#15356: *40 directory index of "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-admin/" is forbidden, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost:18081"
2023/12/25 11:47:14 [error] 8392#11100: *178 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/25 11:47:16 [error] 8392#11100: *178 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/25 11:48:24 [error] 8392#11100: *186 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/25 17:03:00 [error] 8392#11100: *294 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/carts HTTP/1.1", upstream: "http://[::1]:8080/carts", host: "localhost:18080", referrer: "http://localhost:18080/"
2023/12/27 14:59:18 [error] 8392#11100: *377 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/27 14:59:22 [error] 8392#11100: *377 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/27 14:59:39 [error] 8392#11100: *377 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/27 14:59:47 [error] 8392#11100: *380 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/27 15:01:31 [error] 8392#11100: *385 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/27 15:04:00 [error] 8392#11100: *421 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/27 15:04:03 [error] 8392#11100: *423 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:36:30 [error] 8392#11100: *479 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:36:33 [error] 8392#11100: *478 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:40:49 [error] 8392#11100: *494 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:42:49 [error] 8392#11100: *501 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:56:33 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:56:36 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:56:39 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:57:00 [error] 8392#11100: *506 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:57:04 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:57:51 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:58:03 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:58:50 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:58:51 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:58:53 [error] 8392#11100: *506 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:58:55 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:58:59 [error] 8392#11100: *506 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:59:02 [error] 8392#11100: *506 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:59:04 [error] 8392#11100: *506 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:59:04 [error] 8392#11100: *506 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:59:04 [error] 8392#11100: *506 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
