2023-04-24 16:57:36.092 [main] INFO  org.example.ShiroApplication - Starting Main using Java 17.0.6 with PID 2288 (/Users/chenliang/notes/notes/shiro/codes/shiro-study/shiro-springboot/target/classes started by chenliang in /Users/chenliang/notes/notes/shiro/codes/shiro-study)
2023-04-24 16:57:36.094 [main] INFO  org.example.ShiroApplication - The following 1 profile is active: "dev"
2023-04-24 16:57:36.380 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[org.example]' package. Please check your configuration.
2023-04-24 16:57:36.536 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-04-24 16:57:36.540 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-04-24 16:57:36.540 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 16:57:36.540 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-04-24 16:57:36.578 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 16:57:36.578 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 456 ms
2023-04-24 16:57:36.728 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2023-04-24 16:57:36.824 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2023-04-24 16:57:36.833 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2023-04-24 16:57:36.838 [main] INFO  org.example.ShiroApplication - Started Main in 0.984 seconds (process running for 6.273)
